贾芸来,5,98.336201,2.321928,2.000000,4.321928,425.001988
贾妃看,5,50.711849,1.000010,1.921928,2.921938,148.176882
贾环贾,18,170.973061,3.334679,1.208649,4.543328,776.786710
贾环贾兰,14,137.415492,2.846439,3.182006,6.028445,828.401759
贾环见,10,170.973061,1.000010,2.646439,3.646449,623.444605
贾环等,6,140.583301,2.321928,2.584963,4.906891,689.826878
贾环听,11,170.973061,2.000000,1.277613,3.277613,560.383601
雨村,187,1722.911937,4.284005,6.004683,10.288689,17726.504469
雨水,10,92.134328,1.770951,2.521641,4.292591,395.495009
村庄,13,566.851579,2.653544,2.441630,5.095174,2888.207526
村庄上,5,1345.969242,1.370951,1.921928,3.292879,4432.113433
风尘,7,168.555293,2.584963,2.521641,5.106603,860.744990
风俗,10,102.406336,3.121928,2.321928,5.443856,557.485366
风月,18,40.344232,3.852169,3.625000,7.477169,301.660629
风流,55,437.512783,5.383114,4.855790,10.238904,4479.651188
风寒,14,216.923334,2.950212,2.321928,5.272140,1143.650222
风光,11,73.686364,3.277613,2.750000,6.027613,444.152915
风筝,18,1603.683221,3.281036,3.251629,6.532665,10476.325697
风雨,13,75.948568,3.121928,3.546594,6.668522,506.464670
风闻,5,36.070248,2.321928,1.370951,3.692879,133.203050
风吹,11,288.243716,3.121928,3.027169,6.149097,1772.438632
风声,25,59.002326,3.555085,2.807355,6.362440,375.398752
风炉,6,213.824429,2.251629,2.584963,4.836592,1034.181454
风露,5,71.274810,2.000000,2.321928,4.321928,308.044603
风波,7,890.935123,2.521641,2.584963,5.106603,4549.652092
尘世,5,156.093755,2.321928,1.370951,3.692879,576.435300
尘埃,5,11582.156595,1.921928,1.000010,2.921938,33842.344576
尘缘,9,755.358039,2.947703,2.584963,5.532665,4179.143195
怀中,10,43.157376,2.446439,2.321928,4.768367,205.790225
怀内,12,100.415479,2.450826,2.321928,4.772754,479.258370
怀里,22,30.919988,3.663533,3.180833,6.844366,211.627709
怀古,13,391.800923,3.546594,2.000000,5.546594,2173.160477
闺阁,21,4234.981494,4.021928,3.121928,7.143856,30254.098758
闺阁中,8,199.616116,3.000000,3.000000,6.000000,1197.696694
闺中,5,50.925703,2.321928,2.321928,4.643856,236.491643
此时,183,47.750013,5.022663,6.425313,11.447976,546.640985
此时也,9,19.977476,2.251629,2.947703,5.199332,103.869530
此系,9,28.323846,1.584963,2.641604,4.226567,119.712625
此机会,7,45.843538,1.148835,2.321928,3.470763,159.112054
此刻,28,75.172293,2.750000,4.467720,7.217720,542.572573
此处,26,15.769165,3.323231,4.142664,7.465896,117.730942
开口,15,26.463474,3.521641,2.251629,5.773270,152.780775
开了,121,213.472023,5.864921,5.298011,11.162931,2382.973527
开一,14,24.699242,2.985228,2.403677,5.388906,133.101885
开恩,14,24.699242,2.751629,3.169925,5.921554,146.257902
开眼,26,45.870022,1.613715,2.967065,4.580780,210.120465
开的,19,33.520400,3.431624,3.456565,6.888188,230.894830
开门,35,61.748106,4.438067,3.849224,8.287291,511.724534
开手,21,37.048864,1.363008,2.287784,3.650792,135.257696
开心,16,28.227706,3.750000,2.405639,6.155639,173.759567
第一,52,955.249884,4.058657,3.927694,7.986351,7628.961121
第一件,9,161.162107,2.128085,2.641604,4.769689,768.693199
第一个,12,32.232421,3.000000,3.418296,6.418296,206.877215
第二,71,1304.283495,3.978334,3.659590,7.637923,9962.017109
第二个,8,38.086107,2.584963,2.750000,5.334963,203.187953
第二日,9,42.846870,1.921928,3.169925,5.091853,218.169970
第二天,10,47.607634,2.251629,3.169925,5.421554,258.107365
第三,27,495.995132,3.546594,3.884155,7.430749,3685.615162
第四,12,220.442281,1.584963,3.418296,5.003258,1102.929679
第五,8,146.961521,2.321928,2.807355,5.129283,753.807232
第七,5,91.850950,1.584963,1.370951,2.955913,271.503427
第十,10,183.701901,2.321928,2.646439,4.968367,912.698542
一番,83,44.105650,4.362818,5.194236,9.557054,421.520060
一一的,31,20.744175,4.235926,3.999047,8.234973,170.827721
一段,29,37.955264,3.624380,3.852498,7.476877,283.786849
一段故事,5,75.146391,1.370951,1.584963,2.955913,222.126201
一时,446,14.519204,5.814747,6.822020,12.636767,183.475795
一时不,16,14.572509,3.459432,3.750000,7.209432,105.059505
一时想不起,5,78.209594,1.921928,1.370951,3.292879,257.534705
一时半刻,7,75.146391,2.807355,1.921928,4.729283,355.388551
一块,91,39.946919,4.716693,4.622826,9.339519,373.085009
一块石,5,60.600248,2.321928,1.921928,4.243856,257.178737
一块儿,19,72.720297,3.239098,3.725481,6.964578,506.466218
一点,150,14.806282,5.269382,4.230913,9.500295,140.664047
一点儿,53,60.221496,4.576060,4.137668,8.713728,524.753713
一点儿不,7,20.218447,2.807355,2.807355,5.614710,113.520713
一点子,17,25.755105,3.124844,3.664498,6.789341,174.860201
一点不,6,49.266986,2.000000,2.584963,4.584963,225.887283
一首,52,17.093565,3.871040,4.373551,8.244591,140.929457
一件,228,31.472603,4.404780,5.252497,9.657277,303.939639
一件大,17,51.510211,2.609850,2.534147,5.143997,264.968370
一件大事,7,47.820431,2.235926,2.000000,4.235926,202.563822
一件事,38,24.029316,3.152783,3.503258,6.656041,159.940119
一件是,10,72.720297,2.000000,3.121928,5.121928,372.468135
一件东西,8,22.265597,2.500000,2.321928,4.821928,107.363109
一套,22,16.029454,3.880180,3.577820,7.457999,119.547657
一遍,94,46.457902,1.534203,2.235926,3.770129,175.152289
一味,32,22.392180,3.425119,3.537230,6.962349,155.902166
一味的,11,53.328218,2.251629,3.459432,5.711061,304.560695
一把拉,19,72.720297,3.240224,1.058277,4.298501,312.588269
一把拉住,15,75.146391,3.392747,2.750000,6.142747,461.605299
一二年,12,27.270112,2.751629,2.947703,5.699332,155.421418
一家子,28,37.706821,3.375000,3.582610,6.957610,262.349365
一家子的,7,41.933567,2.807355,2.521641,5.328996,223.463794
一处,186,14.074528,4.088032,5.283655,9.371687,131.902067
一处顽,10,50.763225,2.370951,2.155639,4.526590,229.784288
一处的,14,29.943652,1.291692,2.521641,3.813333,114.185105
一处吃,11,55.839547,2.594907,1.842371,4.437278,247.775573
一干人,21,63.630260,2.849157,3.456565,6.305722,401.234708
一株,8,37.693503,3.000000,2.750000,5.750000,216.737644
一场,92,35.530761,3.871502,3.970573,7.842075,278.634908
一半是,7,39.157083,1.370951,2.807355,4.178306,163.610257
一面,825,33.053933,5.151077,6.097303,11.248380,371.803191
一面说,182,68.575617,3.277613,2.234102,5.511716,377.969305
一面又,63,38.176582,1.000010,5.165196,6.165206,235.366510
一面命人,7,48.218037,1.000010,2.807355,3.807365,183.583662
一面使人,5,75.146391,1.584963,2.321928,3.906891,293.588728
一面回头,6,50.514134,1.000010,2.251629,3.251639,164.253736
一面哭着,5,75.146391,1.584963,1.000010,2.584973,194.251354
一副,32,41.120185,2.748320,3.236700,5.985020,246.105149
一声,272,25.461837,4.345143,4.805326,9.150469,232.987750
一声儿,32,50.588033,3.715281,2.617492,6.332774,320.362557
一个,1520,18.943129,5.722105,7.469509,13.191614,249.890442
一个丫鬟,9,24.675490,2.750000,2.750000,5.500000,135.715193
一个丫头,22,13.544430,3.725651,3.794653,7.520304,101.858238
一个女孩儿,7,36.497811,2.235926,1.370951,3.606877,131.643111
一个儿子,8,35.761579,2.250000,2.000000,4.250000,151.986712
一个人,168,9.288245,5.466045,5.982024,11.448069,106.332472
一个极,7,19.619735,2.807355,2.521641,5.328996,104.553479
一个小,73,20.915260,3.900032,3.827138,7.727171,161.615781
一个小丫头,26,28.640133,2.815072,4.053661,6.868733,196.721430
一个老婆子,13,33.890824,2.653544,3.277613,5.931158,201.011823
一个月,28,20.434139,3.736441,4.103910,7.840350,160.210809
一个月的,6,23.730439,2.251629,2.251629,4.503258,106.864298
一个大夫,5,24.479653,2.321928,1.921928,4.243856,103.888125
一个男人,10,31.310996,2.725481,2.947703,5.673183,177.633022
一口咬定,5,75.146391,2.321928,2.000000,4.321928,324.777298
一口血,6,58.199594,1.918296,1.500000,3.418296,198.943430
一席话,15,72.720297,2.000000,2.004936,4.004936,291.240108
一席话说,9,75.146391,1.584963,1.446617,3.031579,227.812233
一概,76,55.374476,5.124057,3.884292,9.008349,498.832603
一概不,29,68.028665,4.084963,3.574558,7.659520,521.066924
一概不许,5,75.146391,2.000000,1.921928,3.921928,294.718742
一概都,8,64.640264,3.000000,2.750000,5.750000,371.681520
一夜,101,15.059509,3.768431,4.733380,8.501811,128.033099
一夜不,9,27.270112,3.169925,2.058814,5.228739,142.588293
一夜没,6,54.540223,2.584963,1.459148,4.044110,220.566684
一条,53,32.291309,4.453661,5.216551,9.670212,312.263803
一般,147,35.458266,5.746400,3.320657,9.067058,321.502134
一般的,15,41.954018,3.093069,3.132915,6.225984,261.205034
一般也,7,72.720297,1.921928,2.807355,4.729283,343.914868
一片,32,32.776959,3.947416,4.260333,8.207749,269.025057
一片声,6,72.720297,2.584963,1.792481,4.377444,318.329012
一封书,7,56.560231,2.128085,1.664498,3.792583,214.509375
一年的,12,20.294036,3.418296,3.022055,6.440351,130.700719
一年不,7,26.791689,2.251629,2.807355,5.058984,135.538726
一年半载,6,48.317245,1.370951,1.000010,2.370961,114.558283
一句,255,28.835530,4.357862,4.104159,8.462021,244.006862
一句话,94,35.054913,3.651382,4.494913,8.146295,285.567660
一句话没说,5,78.209594,1.000010,1.521928,2.521938,197.239754
一句话也,8,31.035403,2.251629,1.811278,4.062907,126.093963
一句也,6,33.200152,1.584963,1.792481,3.377444,112.131647
一句不,6,25.665987,1.921928,2.251629,4.173557,107.118468
一心只,5,39.632163,1.921928,2.321928,4.243856,168.193202
一位,69,17.292897,3.396823,5.395202,8.792024,152.039567
一样的,42,13.725703,3.642893,4.563856,8.206749,112.643405
一辈的,11,66.660273,3.277613,2.846439,6.124053,408.231028
一辈子,49,62.513940,4.355866,3.637431,7.993297,499.692490
一辈子的,11,37.654632,3.095795,2.921928,6.017723,226.595157
一辈子不,7,23.962038,2.584963,2.521641,5.106603,122.364621
一路,38,11.576130,4.142664,5.017536,9.160200,106.039665
一杯,71,22.808853,3.085371,3.770942,6.856313,156.384633
一步,41,16.945544,4.113925,4.073330,8.187254,138.737481
一群,23,32.510647,3.568084,2.138318,5.706403,185.518839
一群人,13,72.720297,3.026987,2.663533,5.690520,413.816277
一双,22,18.079733,3.787144,4.095795,7.882939,142.521434
一辆,9,21.202596,2.419382,2.503258,4.922640,104.372751
一行说,7,72.720297,2.000000,1.000010,3.000010,218.161620
一行哭,7,72.720297,1.584963,2.000000,3.584963,260.699539
一溜,23,29.027363,3.947703,3.162644,7.110347,206.394620
一溜烟,9,72.720297,2.251629,2.725481,4.977110,361.936900
一张,80,12.820919,4.601168,5.453188,10.054356,128.906092
一张椅,6,43.632178,2.251629,1.459148,3.710777,161.909288
一张小,6,72.720297,1.918296,2.251629,4.169925,303.238186
一会子,76,16.207456,3.247906,4.412287,7.660194,124.152252
一会儿,11,57.137377,2.281036,2.500000,4.781036,273.175861
